"","x"
"T Cell Activation Involved In Immune Response (GO:0002286)",0.000326933377346306
"T Cell Differentiation (GO:0030217)",2.75311782535634e-05
"T Cell Differentiation In Thymus (GO:0033077)",0.00245345972185894
"T Cell Homeostasis (GO:0043029)",0.000976741907710654
"T Cell Mediated Immunity (GO:0002456)",0.0380510610832127
"T Cell Migration (GO:0072678)",1.70185032695502e-05
"T Cell Proliferation (GO:0042098)",0.0790405780445262
"T Cell Receptor Signaling Pathway (GO:0050852)",6.46227850863519e-09
"T-helper Cell Differentiation (GO:0042093)",0.000504020590195348
"T-helper Cell Lineage Commitment (GO:0002295)",0.0016581780876482
"TOR Signaling (GO:0031929)",0.000822663444616495
"TORC1 Signaling (GO:0038202)",0.015982173643621
"U2-type Prespliceosome Assembly (GO:1903241)",0.00853442107518847
"UV-damage Excision Repair (GO:0070914)",0.737972175991155
"V(D)J Recombination (GO:0033151)",0.00492635367741289
"Wnt Signaling Pathway (GO:0016055)",0.0188363803138175
"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",0.00379042845218664
"acetyl-CoA Biosynthetic Process (GO:0006085)",0.0875715459292814
"acetyl-CoA Metabolic Process (GO:0006084)",0.0148462974911507
"Actin Cytoskeleton Reorganization (GO:0031532)",5.6617279520173e-06
"Actin Filament Bundle Assembly (GO:0051017)",0.000101243797747581
"Actin Filament Bundle Organization (GO:0061572)",0.000248483715675796
"Actin Filament Capping (GO:0051693)",0.0150817841744126
"Actin Filament Depolymerization (GO:0030042)",0.290272452210367
"Actin Filament Organization (GO:0007015)",1.9584794353005e-09
"Actin Filament Polymerization (GO:0030041)",3.11018761632932e-05
"Actin Filament-Based Transport (GO:0099515)",3.73436468890719e-05
"Actin Nucleation (GO:0045010)",0.0538080555429281
"Actin Polymerization Or Depolymerization (GO:0008154)",9.08086445750522e-07
"Action Potential (GO:0001508)",1.08283531740287e-05
"Activation Of GTPase Activity (GO:0090630)",3.06025669717675e-10
"Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250)",0.0343790230992843
"Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202)",9.58548843551338e-06
"Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)",0.000191916984565947
"Activation Of Phospholipase C Activity (GO:0007202)",0.00947974936339484
"Activation Of Protein Kinase B Activity (GO:0032148)",0.174357038275032
"Activation Of Protein Kinase Activity (GO:0032147)",0.000224957918585091
"Actomyosin Structure Organization (GO:0031032)",0.0695044384874513
"Acute Inflammatory Response (GO:0002526)",6.19969901440919e-07
"acyl-CoA Biosynthetic Process (GO:0071616)",0.00156969217426545
"acyl-CoA Metabolic Process (GO:0006637)",0.0351110645606126
"Acylglycerol Biosynthetic Process (GO:0046463)",2.86664052198122e-06
"Acylglycerol Catabolic Process (GO:0046464)",0.00446289575938101
"Acylglycerol Homeostasis (GO:0055090)",0.135072439440482
"Acylglycerol Metabolic Process (GO:0006639)",2.41260344477806e-05
"Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460)",0.000111998263189572
"Adenine Nucleotide Transport (GO:0051503)",0.032684992302505
"Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)",2.89911384759025e-11
"Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)",0.000427812031789641
"Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)",1.67536464258296e-20
"Adherens Junction Organization (GO:0034332)",0.0935773017403086
"Adipose Tissue Development (GO:0060612)",5.8307603795957e-05
"Aerobic Electron Transport Chain (GO:0019646)",7.98505849892127e-07
"Aerobic Respiration (GO:0009060)",9.65132721764004e-05
"Alpha-Amino Acid Catabolic Process (GO:1901606)",1.30996627304728e-06
"Alpha-Amino Acid Metabolic Process (GO:1901605)",0.015856701422009
"Alpha-Beta T Cell Activation (GO:0046631)",3.29166533185509e-06
"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",0.00190507141672419
"Ameboidal-Type Cell Migration (GO:0001667)",0.278681930864059
"Amide Biosynthetic Process (GO:0043604)",1.71843927743377e-06
"Amide Transport (GO:0042886)",3.7349280172631e-08
"Amino Acid Catabolic Process (GO:0009063)",3.18270523870155e-06
"Amino Acid Import Across Plasma Membrane (GO:0089718)",0.000212959268130135
"Amino Acid Transmembrane Transport (GO:0003333)",0.0145763324684941
"Amino Acid Transport (GO:0006865)",0.00499386168239784
"Aminoglycan Biosynthetic Process (GO:0006023)",0.00165524670482523
"Amyloid Fibril Formation (GO:1990000)",0.000977197448390011
"Amyloid Precursor Protein Catabolic Process (GO:0042987)",0.0114179654069143
"Amyloid Precursor Protein Metabolic Process (GO:0042982)",0.0234338818276969
"Amyloid-Beta Metabolic Process (GO:0050435)",0.0155001672683967
"Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145)",0.153914316734598
"Androgen Receptor Signaling Pathway (GO:0030521)",0.406257595776846
"Anterior/Posterior Pattern Specification (GO:0009952)",5.41254142764497e-06
"Anterograde Axonal Transport (GO:0008089)",0.0142386763239483
"Anterograde Synaptic Vesicle Transport (GO:0048490)",0.0118112370185939
"Anterograde Trans-Synaptic Signaling (GO:0098916)",7.56948611134719e-15
"Antibacterial Humoral Response (GO:0019731)",6.78653465614743e-05
"Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)",5.34456107201505e-05
"Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)",1.99390315944682e-07
"Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)",1.548250584826e-05
"Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)",4.82199870736985e-06
"Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)",1.548250584826e-05
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)",1.86927016617406e-11
"Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)",2.48788867467465e-11
"Antimicrobial Humoral Response (GO:0019730)",1.45608178243748e-13
"Antiviral Innate Immune Response (GO:0140374)",3.5888224976077e-15
"Aorta Morphogenesis (GO:0035909)",0.00380199598270694
"Aortic Valve Development (GO:0003176)",0.0111638906873166
"Aortic Valve Morphogenesis (GO:0003180)",0.121143236227719
"Apical Junction Assembly (GO:0043297)",0.0303903841350506
"Apoptotic Cell Clearance (GO:0043277)",0.000177643914871031
"Apoptotic Mitochondrial Changes (GO:0008637)",1.35480151723008e-11
"Apoptotic Nuclear Changes (GO:0030262)",0.102164606318453
"Arachidonic Acid Metabolic Process (GO:0019369)",4.73200618503284e-08
"Artery Development (GO:0060840)",0.446734171633335
"Artery Morphogenesis (GO:0048844)",0.0170170858698661
"Astrocyte Activation (GO:0048143)",0.000124936721620331
"Astrocyte Development (GO:0014002)",0.000787146291081669
"Atrioventricular Valve Morphogenesis (GO:0003181)",0.00317964709428016
"Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)",0.0298367957869237
"Autophagosome Assembly (GO:0000045)",4.45470246238363e-06
"Autophagosome Maturation (GO:0097352)",0.000538370639974014
"Autophagosome Organization (GO:1905037)",1.9231538945987e-05
"Autophagy Of Mitochondrion (GO:0000422)",0.000400722900594121
"Autophagy Of Nucleus (GO:0044804)",0.217900946323227
"Axon Development (GO:0061564)",1.98453202341796e-07
"Axon Extension (GO:0048675)",0.00978237446767291
"Axon Guidance (GO:0007411)",3.44626768359256e-15
"Axonal Transport (GO:0098930)",0.00102764995722425
"Axonal Transport Of Mitochondrion (GO:0019896)",0.0108776461611994
"Axonemal Dynein Complex Assembly (GO:0070286)",0.131175472034591
"Axoneme Assembly (GO:0035082)",0.300400083003087
"Axonogenesis (GO:0007409)",5.52870901551791e-16
"Barbed-End Actin Filament Capping (GO:0051016)",0.0150817841744126
"Base Conversion Or Substitution Editing (GO:0016553)",8.77512829681055e-06
"Base-Excision Repair (GO:0006284)",0.00178855890216021
"Base-Excision Repair, AP Site Formation (GO:0006285)",0.0325059725830524
"Base-Excision Repair, Gap-Filling (GO:0006287)",0.0771910707905875
"Bicarbonate Transport (GO:0015701)",0.403150336277331
"Bicellular Tight Junction Assembly (GO:0070830)",0.147187206777961
"Bile Acid And Bile Salt Transport (GO:0015721)",0.00805431318079501
"Bile Acid Biosynthetic Process (GO:0006699)",0.239129011968635
"Bile Acid Metabolic Process (GO:0008206)",0.13726823325925
"Blood Circulation (GO:0008015)",1.84321445177367e-09
"Blood Vessel Diameter Maintenance (GO:0097746)",1.41753127258456e-06
"Blood Vessel Endothelial Cell Migration (GO:0043534)",0.227387402286932
"Blood Vessel Morphogenesis (GO:0048514)",0.350442420131209
"Bone Development (GO:0060348)",6.60451063681248e-05
"Brain Development (GO:0007420)",1.24093844985041e-08
"Branched-Chain Amino Acid Catabolic Process (GO:0009083)",0.048651707310258
"Branched-Chain Amino Acid Metabolic Process (GO:0009081)",0.0779277136447908
"Branching Morphogenesis Of An Epithelial Tube (GO:0048754)",0.000759958475030932
"cAMP-mediated Signaling (GO:0019933)",0.0154373486771775
"Calcium Ion Homeostasis (GO:0055074)",8.23109386302825e-12
"Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)",0.000251329461911732
"Calcium Ion Transmembrane Transport (GO:0070588)",3.42185628725128e-06
"Calcium Ion Transport (GO:0006816)",5.72199973674877e-10
"Calcium-Mediated Signaling (GO:0019722)",4.01503310694488e-07
"Calcium-Mediated Signaling Using Intracellular Calcium Source (GO:0035584)",0.004390380626297
"Canonical Wnt Signaling Pathway (GO:0060070)",1.26971856631398e-05
"Carbohydrate Biosynthetic Process (GO:0016051)",0.0397336584276909
"Carbohydrate Catabolic Process (GO:0016052)",0.000136175323960198
"Carbohydrate Derivative Biosynthetic Process (GO:1901137)",0.0601919012698204
"Carbohydrate Derivative Catabolic Process (GO:1901136)",0.000167247865986103
"Carbohydrate Derivative Transport (GO:1901264)",0.000250159583407027
"Carboxylic Acid Biosynthetic Process (GO:0046394)",6.97816222334285e-06
"Carboxylic Acid Catabolic Process (GO:0046395)",0.00660477048129565
"Carboxylic Acid Metabolic Process (GO:0019752)",3.86076113351177e-06
"Carboxylic Acid Transmembrane Transport (GO:1905039)",0.0522525442993569
"Carboxylic Acid Transport (GO:0046942)",2.49104261649033e-07
"Cardiac Atrium Morphogenesis (GO:0003209)",0.0768736110394414
"Cardiac Cell Development (GO:0055006)",0.00161075319455736
"Cardiac Conduction (GO:0061337)",6.82085400436361e-06
"Cardiac Conduction System Development (GO:0003161)",0.000420796215440589
"Cardiac Epithelial To Mesenchymal Transition (GO:0060317)",0.00655830258941041
"Cardiac Muscle Cell Action Potential (GO:0086001)",0.300271765359993
"Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002)",0.0364522953833292
"Cardiac Muscle Cell Development (GO:0055013)",0.100184131562236
"Cardiac Muscle Cell Differentiation (GO:0055007)",0.000789116055755713
"Cardiac Muscle Contraction (GO:0060048)",0.8861425518271
"Cardiac Muscle Tissue Development (GO:0048738)",0.00123521462311271
"Cardiac Muscle Tissue Morphogenesis (GO:0055008)",0.000518092667795404
"Cardiac Ventricle Development (GO:0003231)",0.0685815393734995
"Cardiac Ventricle Morphogenesis (GO:0003208)",0.266105611579527
"Cartilage Development (GO:0051216)",0.00352398998064519
"Cell Chemotaxis (GO:0060326)",7.54547412326914e-07
"Cell Cycle G1/S Phase Transition (GO:0044843)",0.000113310098351597
"Cell Cycle G2/M Phase Transition (GO:0044839)",0.00203366628660926
"Cell Junction Assembly (GO:0034329)",2.93259096413748e-07
"Cell Junction Organization (GO:0034330)",0.0196458839535614
"Cell Morphogenesis Involved In Differentiation (GO:0000904)",0.0162921827485908
"Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)",2.2050542413541e-08
"Cell Part Morphogenesis (GO:0032990)",4.38411804743926e-05
"Cell Projection Assembly (GO:0030031)",0.000251125068479205
"Cell Projection Organization (GO:0030030)",2.82536936332836e-05
"Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)",0.0373111149966366
"Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311)",0.0223757890283603
"Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895)",6.19969901440919e-07
"Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)",9.14951513569513e-05
"Cell-Cell Junction Assembly (GO:0007043)",1.03807432351177e-06
"Cell-Cell Junction Organization (GO:0045216)",0.000421122690569939
"Cell-Cell Signaling By Wnt (GO:0198738)",0.0433658148024039
"Cell-Matrix Adhesion (GO:0007160)",0.00472523036164304
"Cell-Substrate Junction Assembly (GO:0007044)",0.0117766947996805
"Cellular Component Disassembly (GO:0022411)",1.76809985040568e-06
"Cellular Defense Response (GO:0006968)",3.37649434412346e-10
"Cellular Lipid Catabolic Process (GO:0044242)",0.00149380060028961
"Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)",0.00764163869500508
"Cellular Respiration (GO:0045333)",1.23432621498268e-07
"Cellular Response To BMP Stimulus (GO:0071773)",2.70107761096258e-06
"Cellular Response To UV (GO:0034644)",9.13604974295018e-10
"Cellular Response To Acid Chemical (GO:0071229)",0.0248562993553601
"Cellular Response To Alcohol (GO:0097306)",0.00175911992601216
"Cellular Response To Alkaloid (GO:0071312)",0.0120246269825143
"Cellular Response To Amino Acid Starvation (GO:0034198)",2.02954949297144e-07
"Cellular Response To Amino Acid Stimulus (GO:0071230)",0.0117081462089552
"Cellular Response To Amyloid-Beta (GO:1904646)",3.59218044160389e-08
"Cellular Response To Arsenic-Containing Substance (GO:0071243)",0.0467824239013248
"Cellular Response To cAMP (GO:0071320)",0.0451682200986136
"Cellular Response To Cadmium Ion (GO:0071276)",0.0135230065739597
"Cellular Response To Calcium Ion (GO:0071277)",1.62739009058243e-07
"Cellular Response To Catecholamine Stimulus (GO:0071870)",0.0139349951127028
"Cellular Response To Chemical Stress (GO:0062197)",1.38672703205266e-16
"Cellular Response To Chemokine (GO:1990869)",5.75777375048733e-15
"Cellular Response To Corticosteroid Stimulus (GO:0071384)",0.00197000862355036
"Cellular Response To Decreased Oxygen Levels (GO:0036294)",1.68986075730648e-07
"Cellular Response To dsRNA (GO:0071359)",6.19969901440919e-07
"Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)",0.00208407935160901
"Cellular Response To Estrogen Stimulus (GO:0071391)",0.000311796400264228
"Cellular Response To Exogenous dsRNA (GO:0071360)",7.59852522946428e-06
"Cellular Response To Fatty Acid (GO:0071398)",7.80760093787706e-05
"Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344)",7.80071570653963e-05
"Cellular Response To Fluid Shear Stress (GO:0071498)",0.000110393909550329
"Cellular Response To Gamma Radiation (GO:0071480)",0.000215710112629685
"Cellular Response To Glucocorticoid Stimulus (GO:0071385)",0.00290345182629167
"Cellular Response To Glucose Starvation (GO:0042149)",0.000115244351436528
"Cellular Response To Glucose Stimulus (GO:0071333)",5.53359514243186e-05
"Cellular Response To Growth Factor Stimulus (GO:0071363)",1.72811507584191e-07
"Cellular Response To Heat (GO:0034605)",8.31274694051936e-05
"Cellular Response To Hexose Stimulus (GO:0071331)",0.000258577775025717
"Cellular Response To Hormone Stimulus (GO:0032870)",1.71126262473987e-07
"Cellular Response To Hydrogen Peroxide (GO:0070301)",0.000697178916691554
"Cellular Response To Hypoxia (GO:0071456)",9.9137831694161e-08
"Cellular Response To Increased Oxygen Levels (GO:0036295)",0.00346310974869427
"Cellular Response To Insulin Stimulus (GO:0032869)",2.85033729308528e-10
"Cellular Response To Interferon-Beta (GO:0035458)",1.47741404571598e-08
"Cellular Response To Interleukin-1 (GO:0071347)",4.0829307645191e-21
"Cellular Response To Interleukin-15 (GO:0071350)",0.00536105215334222
"Cellular Response To Interleukin-4 (GO:0071353)",0.000856068566582331
"Cellular Response To Interleukin-6 (GO:0071354)",0.0143348507039877
"Cellular Response To Ionizing Radiation (GO:0071479)",8.08801531940607e-09
"Cellular Response To Ketone (GO:1901655)",6.65191886307338e-06
"Cellular Response To Lectin (GO:1990858)",0.00619780797079705
"Cellular Response To Leucine Starvation (GO:1990253)",0.248320619296348
"Cellular Response To Light Stimulus (GO:0071482)",3.07807085198284e-07
"Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)",1.86063894454035e-07
"Cellular Response To Mechanical Stimulus (GO:0071260)",3.05339290957235e-10
"Cellular Response To Metal Ion (GO:0071248)",3.82786073167943e-08
"Cellular Response To Misfolded Protein (GO:0071218)",0.0643120651027976
"Cellular Response To Molecule Of Bacterial Origin (GO:0071219)",4.68016917723653e-30
"Cellular Response To Nerve Growth Factor Stimulus (GO:1990090)",0.0996622508454233
"Cellular Response To Nitrogen Compound (GO:1901699)",0.0837597000516644
"Cellular Response To Nutrient Levels (GO:0031669)",1.11563914373199e-08
"Cellular Response To Organic Substance (GO:0071310)",2.42346374521579e-14
"Cellular Response To Organonitrogen Compound (GO:0071417)",2.56281520766467e-07
"Cellular Response To Osmotic Stress (GO:0071470)",1.23464191265393e-06
"Cellular Response To Oxidative Stress (GO:0034599)",2.05216249757358e-06
"Cellular Response To Peptide (GO:1901653)",5.19313128666582e-14
"Cellular Response To Peptide Hormone Stimulus (GO:0071375)",4.46832389631451e-10
"Cellular Response To Radiation (GO:0071478)",5.63114492028025e-10
"Cellular Response To Reactive Oxygen Species (GO:0034614)",3.28004306319508e-08
"Cellular Response To Retinoic Acid (GO:0071300)",2.75952944813356e-05
"Cellular Response To Salt (GO:1902075)",4.38638544916664e-08
"Cellular Response To Starvation (GO:0009267)",2.35514633994139e-11
"Cellular Response To Steroid Hormone Stimulus (GO:0071383)",0.000732409375037271
"Cellular Response To Thyroid Hormone Stimulus (GO:0097067)",7.16759097651728e-05
"Cellular Response To Topologically Incorrect Protein (GO:0035967)",1.15330378604679e-05
"Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)",0.000580353364634645
"Cellular Response To Tumor Necrosis Factor (GO:0071356)",1.10309406625126e-26
"Cellular Response To Type I Interferon (GO:0071357)",3.00435368245506e-11
"Cellular Response To Type II Interferon (GO:0071346)",4.04461479734385e-18
"Cellular Response To Unfolded Protein (GO:0034620)",2.69645954643617e-05
"Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)",0.000341668685299537
"Cellular Response To Virus (GO:0098586)",1.85132362323087e-15
"Cellular Response To Xenobiotic Stimulus (GO:0071466)",0.000780693782499217
"Central Nervous System Neuron Development (GO:0021954)",0.00391442413770134
"Central Nervous System Neuron Differentiation (GO:0021953)",0.0151487132379976
"Centromere Complex Assembly (GO:0034508)",0.00122986755244136
"Ceramide Biosynthetic Process (GO:0046513)",4.71976491090832e-05
"Ceramide Metabolic Process (GO:0006672)",0.00322420616817955
"Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)",6.82355842354834e-05
"Chaperone-Mediated Protein Complex Assembly (GO:0051131)",8.63731218363488e-05
"Chemical Synaptic Transmission (GO:0007268)",5.63178419287023e-16
"Chemokine-Mediated Signaling Pathway (GO:0070098)",3.52681083058379e-15
"Chloride Transmembrane Transport (GO:1902476)",5.66517288609574e-05
"Chloride Transport (GO:0006821)",0.00172082929940643
"Cholesterol Biosynthetic Process (GO:0006695)",0.00611542438935972
"Cholesterol Efflux (GO:0033344)",0.0412277167203248
"Cholesterol Homeostasis (GO:0042632)",0.000122636164642317
"Cholesterol Metabolic Process (GO:0008203)",6.63697305249031e-08
"Cholesterol Transport (GO:0030301)",0.0207432428106362
"Chondrocyte Differentiation (GO:0002062)",0.00389316165512158
"Chondroitin Sulfate Metabolic Process (GO:0030204)",0.00034459411699507
"Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650)",0.00206718454133427
"Chordate Embryonic Development (GO:0043009)",0.13889497990468
"Chromosome Condensation (GO:0030261)",0.00023832839229115
"Chromosome Organization (GO:0051276)",0.000293507658588936
"Cilium Movement (GO:0003341)",0.000104713064899589
"Circulatory System Development (GO:0072359)",3.18789381667043e-06
"Clathrin Coat Assembly (GO:0048268)",0.0757804821507324
"Clathrin-Dependent Endocytosis (GO:0072583)",0.0105700343350719
"Coenzyme A Biosynthetic Process (GO:0015937)",0.07233037010807
"Coenzyme A Metabolic Process (GO:0015936)",0.00650328844480698
"Cognition (GO:0050890)",1.53928620793295e-06
"Collagen Fibril Organization (GO:0030199)",1.94019917123587e-05
"Connective Tissue Development (GO:0061448)",1.28231258157685e-05
